RotorL RotorW BodyL FootL FoldL FoldW Paper DirFold Time
5.5 3 1.5 0 5 1.5 light against 11.8
5.5 3 1.5 2.5 11 2.5 heavy against 8.29
5.5 3 5.5 0 11 2.5 light with 9
5.5 3 5.5 2.5 5 1.5 heavy with 7.21
5.5 5 1.5 0 11 1.5 heavy with 6.65
5.5 5 1.5 2.5 5 2.5 light with 10.26
5.5 5 5.5 0 5 2.5 heavy against 7.98
5.5 5 5.5 2.5 11 1.5 light against 8.06
11.5 3 1.5 0 5 2.5 heavy with 9.2
11.5 3 1.5 2.5 11 1.5 light with 19.35
11.5 3 5.5 0 11 1.5 heavy against 12.08
11.5 3 5.5 2.5 5 2.5 light against 20.5
11.5 5 1.5 0 11 2.5 light against 13.58
11.5 5 1.5 2.5 5 1.5 heavy against 7.47
11.5 5 5.5 0 5 1.5 light with 9.79
11.5 5 5.5 2.5 11 2.5 heavy with 9.2
8.5 4 3.5 1.25 8 2 light against 10.52
8.5 4 3.5 1.25 8 2 light against 10.81
8.5 4 3.5 1.25 8 2 light against 10.89
8.5 4 3.5 1.25 8 2 heavy against 15.91
8.5 4 3.5 1.25 8 2 heavy against 16.08
8.5 4 3.5 1.25 8 2 heavy against 13.88
8.5 4 2 2 6 2 light against 12.99
9.5 3.61 2 2 6 2 light against 15.22
10.5 3.22 2 2 6 2 light against 16.34
11.5 2.83 2 2 6 1.5 light against 18.78
12.5 2.44 2 2 6 1.5 light against 17.39
13.5 2.05 2 2 6 1.5 light against 7.24
10.5 2.44 2 1.5 6 1.5 light against 13.65
12.5 2.44 2 1.5 6 1.5 light against 13.74
10.5 3.22 2 1.5 6 1.5 light against 15.48
12.5 3.22 2 1.5 6 1.5 light against 13.53
11.5 2.83 2 1.5 6 1.5 light against 17.38
11.5 2.83 2 1.5 6 1.5 light against 16.35
11.5 2.83 2 1.5 6 1.5 light against 16.41
10.08 2.83 2 1.5 6 1.5 light against 12.51
12.91 2.83 2 1.5 6 1.5 light against 15.17
11.5 2.28 2 1.5 6 1.5 light against 14.86
11.5 3.38 2 1.5 6 1.5 light against 11.85
11.18 2.94 2 2 6 1.5 light against 15.54
11.18 2.94 2 2 6 1.5 light against 16.4
11.18 2.94 2 2 6 1.5 light against 19.67
11.18 2.94 2 2 6 1.5 light against 19.41
11.18 2.94 2 2 6 1.5 light against 18.55
11.18 2.94 2 2 6 1.5 light against 17.29
